Date,ConnType,ConnDetails,Lat,Lon,Download,DownloadBytes,Upload,UploadBytes,Latency,ServerName,InternalIp,ExternalIp,Is SpeedTest VPN
2023-08-06 14:58,Cell,"T-Mobile NR",33.946192,-118.410730,228001,235979664,810,1366254,29,"Torrance, CA","2607:fb90:ed26:1be:757c:6b40:cbe3:5e6d","2607:fb90:ed26:1be:757c:6b40:cbe3:5e6d",No
2023-08-06 14:35,Cell,"T-Mobile NRNSA",33.944991,-118.407195,122904,193946774,1214,2106624,13,"Los Angeles, CA","2607:fb90:ed26:1be:5ce:fbb6:9866:cb6b","2607:fb90:ed26:1be:5ce:fbb6:9866:cb6b",No
2023-08-06 11:15,Cell,"Verizon LTE",34.065048,-118.240532,235763,380350675,37271,58846544,53,"Los Angeles, CA","100.70.42.143","38.99.92.71",No
2023-08-06 11:13,Cell,"Verizon NRNSA",34.065200,-118.240533,279898,356782419,48087,67549747,50,"Los Angeles, CA","100.70.42.143","38.99.92.71",No
2023-08-06 11:06,Cell,"T-Mobile NR",34.065086,-118.240604,1199185,1521741785,101529,90589622,15,"El Monte, CA","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b",No
2023-08-06 11:04,Cell,"T-Mobile LTE",34.065097,-118.240506,199909,340376778,50081,54433745,23,"Los Angeles, CA","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b",No
2023-08-06 11:03,Cell,"T-Mobile LTE",34.065080,-118.240459,175536,158505519,46744,69022019,31,"Los Angeles, CA","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b",No
2023-08-06 11:02,Cell,"T-Mobile NR",34.065110,-118.240667,559291,792463128,86246,128038101,18,"Los Angeles, CA","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b",No
2023-08-06 10:49,Cell,"T-Mobile NR",34.066072,-118.240258,935208,1424835080,96933,128084121,9,"El Monte, CA","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b","2607:fb90:bd86:d37e:751e:b54c:9cd2:bc9b",No
2023-08-06 09:33,Cell,"Verizon NRNSA",34.118030,-118.300181,15606,21303232,11985,19774236,40,"Los Angeles, CA","100.68.42.132","38.99.92.83",No
2023-08-06 09:31,Cell,"T-Mobile NRNSA",34.117963,-118.300425,125838,167394552,54613,64890903,13,"El Monte, CA","2607:fb90:ed01:14a2:9948:2c9d:8f7d:e989","2607:fb90:ed01:14a2:9948:2c9d:8f7d:e989",No
2023-08-06 08:11,Cell,"T-Mobile NR",33.919790,-118.326806,1155554,2010352877,84377,76731109,17,"Los Angeles, CA","2607:fb91:8890:ce50:d4e2:c78b:84f0:a188","2607:fb91:8890:ce50:d4e2:c78b:84f0:a188",No
